time,YG63LHK: Surface elevation,YG62-1.5: Surface elevation,YG62-1: Surface elevation,YG62-0.5: Surface elevation,YG62: Surface elevation,YG61-2.5: Surface elevation,YG61-2: Surface elevation,YG61-1.5: Surface elevation,YG61-1: Surface elevation,YG61-0.9HX: Surface elevation,YG61-0.75: Surface elevation,YG61-0.5: Surface elevation,YG61-0.25: Surface elevation,YG61: Surface elevation,YG60-1.75: Surface elevation,YG60-1.5: Surface elevation,YG60-1.25: Surface elevation,YG60-1: Surface elevation,YG60-0.5: Surface elevation,YG60: Surface elevation,YG59-0.5: Surface elevation,YG59-1: Surface elevation,YG59-2: Surface elevation,YG59: Surface elevation,YG58-1: Surface elevation,YG58: Surface elevation,YG57-1: Surface elevation,YG57-2: Surface elevation,YG57: Surface elevation,YG56-1: Surface elevation,YG56: Surface elevation,YG55-1: Surface elevation,YG55: Surface elevation,YG54-1: Surface elevation,YG54: Surface elevation,YG53-2: Surface elevation,YG53-1: Surface elevation,YG53: Surface elevation,YG52-1: Surface elevation,YG52: Surface elevation,YG51-1: Surface elevation,YG51: Surface elevation,YG50-1: Surface elevation,YG50: Surface elevation,YG49-1: Surface elevation,YG49: Surface elevation,YG48-1: Surface elevation,YG48: Surface elevation,YG47-2: Surface elevation,YG47: Surface elevation,YG47-1: Surface elevation,YG46: Surface elevation,YG46-1: Surface elevation,YG45: Surface elevation,YG45-1: Surface elevation,YG44YGYJ: Surface elevation
2023-01-01 09:00:00,"(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2607.17578125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2607.138427734375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2606.9404296875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2606.591064453125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.911376953125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.56689453125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.467041015625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.32568359375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.315673828125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.315673828125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.306884765625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.299560546875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.282470703125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.257568359375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.243896484375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.22705078125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.188232421875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.14501953125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.0947265625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.072021484375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.032958984375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2605.01708984375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.9609375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.941650390625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.895263671875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.8662109375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.833251953125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.81591796875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.797119140625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.76953125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.751220703125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.73486328125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.724609375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.698486328125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.68994140625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.680908203125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.673828125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.66650390625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.6484375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.638916015625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.63623046875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.634765625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.632080078125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.632080078125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.631591796875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.62890625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.62646484375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.620849609375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.618408203125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.617431640625))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.613037109375))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.611328125))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.610107421875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.60888671875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.6044921875))","(np.float64(516.869384765625), np.float64(0.0), np.float64(-0.08527807891368866), np.float64(0.0), np.float64(748.4432983398438), np.float64(0.0), np.float64(2604.6025390625))"
2023-01-01 09:01:00,"(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2607.18115234375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2607.143798828125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2606.945556640625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2606.594970703125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.912353515625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.56689453125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.455078125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.900390625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.86865234375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.88427734375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.915771484375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.958251953125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.934814453125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.1455078125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.242919921875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.22607421875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.1875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.144775390625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.0947265625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.071533203125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.0322265625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2605.01611328125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.9599609375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.941162109375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.8955078125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.865234375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.830322265625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.811279296875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.791259765625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.763671875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.74560546875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.729248046875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.71875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.69189453125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.68359375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.674560546875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.66796875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.660888671875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.64306640625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.63427734375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.632568359375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.6318359375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.62890625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.628173828125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.62744140625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.624267578125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.620849609375))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.614501953125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.6123046875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.61181640625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.607666015625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.60595703125))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.6044921875))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.603515625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.60009765625))","(np.float64(517.47607421875), np.float64(31032.796875), np.float64(635.994140625), np.float64(31535.48046875), np.float64(747.7667846679688), np.float64(44895.06640625), np.float64(2604.59814453125))"
