,P1 (YG63LHK),P2 (YG62-1.5),P3 (YG62-1),P4 (YG62-0.5),P5 (YG62),P6 (YG61-2.5),P7 (YG61-2),P8 (YG61-1.5),P9 (YG61-1),P10 (YG61-0.9HX),P11 (YG61-0.75),P12 (YG61-0.5),P13 (YG61-0.25),P14 (YG61),P15 (YG60-1.75),P16 (YG60-1.5),P17 (YG60-1.25),P18 (YG60-1),P19 (YG60-0.5),P20 (YG60),P21 (YG59-0.5),P22 (YG58-1),P23 (YG59-2),P24 (YG59),P25 (YG58-1),P26 (YG58),P27 (YG57-1),P28 (YG57-2),P29 (YG57),P30 (YG56-1),P31 (YG56),P32 (YG55-1),P33 (YG55),P34 (YG54-1),P35 (YG54),P36 (YG53-2),P37 (YG53-1),P38 (YG53),P39 (YG52-1),P40 (YG52),P41 (YG51-1),P42 (YG51),P43 (YG50-1),P44 (YG50),P45 (YG49-1),P46 (YG49),P47 (YG48-1),P48 (YG48),P49 (YG47-2),P50 (YG47),P51 (YG47-1),P52 (YG46),P53 (YG46-1),P54 (YG45-1),P55 (YG45),P56 (YG44YGY)
P35 (YG54),8320.53,8078.96,7815.77,7549.44,7407.49,7256.87,7147.65,7051.03,6984.91,7046.07,6880.59,6807.62,6678.19,6542.63,6367.18,6193.46,6055.80,5886.70,5655.91,5426.61,5927.02,5027.51,4759.55,4431.89,4016.71,3788.31,3615.28,3151.92,2691.00,2189.11,1743.54,1397.80,1115.19,691.52,0.00,844.67,712.81,1016.23,1601.88,2200.50,2463.65,3055.07,3167.99,3079.67,2779.15,2423.28,2011.87,1925.99,2301.00,2630.09,2463.26,2530.95,3008.30,3403.25,3842.58,4019.95
P36 (YG53-2),8361.18,8113.93,7843.78,7583.90,7443.21,7285.60,7169.13,7057.27,6976.86,7028.77,6855.16,6773.81,6635.72,6496.53,6325.87,6159.32,6033.36,5874.72,5662.88,5450.48,5970.11,5074.42,4820.39,4516.77,4156.21,4010.20,3907.76,3436.01,2956.61,2570.26,2207.56,1963.06,1796.43,1499.30,844.67,0.00,237.53,388.05,802.67,1368.20,1619.35,2210.41,2330.71,2265.61,2005.71,1702.19,1418.40,1503.69,1917.95,2322.85,2342.55,2564.26,2988.77,3282.63,3697.46,3891.11
P37 (YG53-1),8526.79,8280.47,8011.45,7750.04,7608.96,7452.57,7337.41,7228.39,7150.62,7204.34,7032.05,6952.16,6815.49,6676.80,6505.04,6336.94,6208.62,6047.75,5831.91,5615.78,6132.47,5234.28,4976.76,4667.23,4293.45,4127.51,4006.86,3534.97,3057.14,2636.55,2245.68,1966.15,1756.52,1398.26,712.81,237.53,0.00,320.84,889.50,1495.33,1777.42,2371.91,2464.41,2367.14,2070.41,1729.21,1372.95,1390.71,1799.27,2186.77,2162.54,2359.24,2794.85,3109.25,3531.11,3722.07
P38 (YG53),8744.40,8496.84,8226.30,7967.01,7826.48,7668.45,7551.50,7438.49,7356.89,7407.90,7233.63,7151.51,7012.63,6873.18,6703.21,6537.56,6412.87,6255.32,6045.24,5834.22,6354.68,5459.82,5206.63,4904.04,4544.25,4396.15,4288.98,3817.01,3337.88,2936.49,2556.23,2284.62,2077.08,1706.92,1016.23,388.05,320.84,0.00,615.49,1238.60,1551.09,2142.93,2203.20,2079.80,1763.67,1411.44,1057.83,1115.93,1530.02,1935.45,1974.35,2224.35,2632.11,2907.53,3317.97,3512.85
P39 (YG52-1),8820.11,8570.29,8296.88,8043.98,7905.41,7743.91,7623.01,7500.56,7409.90,7454.06,7275.86,7188.77,7045.34,6904.88,6740.14,6581.37,6466.22,6317.80,6123.34,5926.63,6453.09,5573.25,5333.43,5051.92,4733.78,4639.02,4575.70,4108.64,3631.97,3303.56,2974.75,2755.22,2599.10,2282.57,1601.88,802.67,889.50,615.49,0.00,624.45,953.45,1537.98,1587.76,1477.79,1203.31,927.78,821.34,1111.00,1488.76,1923.36,2130.48,2477.61,2814.17,2991.62,3362.15,3562.86
P40 (YG52),8882.60,8631.75,8356.92,8111.90,7976.15,7812.15,7688.04,7556.91,7457.75,7494.69,7313.78,7222.32,7075.38,6935.02,6776.91,6626.45,6521.96,6384.09,6207.20,6026.81,6554.10,5698.27,5474.60,5217.53,4944.41,4902.01,4880.94,4425.51,3959.92,3702.84,3424.40,3251.61,3138.71,2867.37,2200.50,1368.20,1495.33,1238.60,624.45,0.00,368.75,921.86,969.13,913.90,781.47,755.91,1045.61,1455.99,1741.88,2155.36,2487.27,2891.43,3161.25,3249.68,3572.02,3772.44
P41 (YG51-1),8727.54,8476.68,8201.69,7961.55,7827.68,7662.74,7537.23,7401.75,7298.28,7331.24,7149.40,7055.89,6907.53,6767.68,6613.66,6468.21,6369.89,6238.34,6071.92,5901.49,6426.98,5588.76,5375.69,5134.56,4890.40,4880.91,4887.24,4443.05,3989.28,3783.55,3544.51,3409.36,3333.60,3108.41,2463.65,1619.35,1777.42,1551.09,953.45,368.75,0.00,594.61,747.51,838.51,900.61,1031.66,1400.90,1818.56,2087.17,2490.72,2844.60,3255.23,3514.35,3582.78,3890.07,4089.35
P42 (YG51),8860.14,8610.12,8335.89,8105.10,7975.00,7809.18,7681.82,7539.47,7429.01,7454.83,7272.26,7175.60,7025.52,6887.35,6741.45,6605.65,6518.59,6398.63,6250.76,6097.74,6616.88,5812.26,5617.07,5401.55,5200.18,5233.77,5273.42,4845.72,4409.15,4257.09,4054.22,3948.09,3895.80,3692.47,3055.07,2210.41,2371.91,2142.93,1537.98,921.86,594.61,0.00,366.35,702.33,1041.04,1362.85,1851.53,2283.10,2487.56,2854.55,3271.71,3708.50,3918.66,3923.33,4187.08,4381.29
P43 (YG50-1),9224.94,8974.84,8700.53,8469.10,8338.71,8172.92,8045.68,7903.77,7793.72,7819.92,7637.37,7540.84,7390.83,7252.55,7106.20,6969.77,6881.85,6760.86,6611.04,6455.83,6976.01,6166.16,5967.71,5746.85,5534.73,5555.00,5582.15,5147.00,4701.97,4519.70,4290.14,4156.56,4074.69,3829.13,3167.99,2330.71,2464.41,2203.20,1587.76,969.13,747.51,366.35,0.00,376.52,794.76,1187.59,1729.44,2158.21,2308.57,2644.76,3099.24,3551.96,3723.38,3688.07,3926.81,4117.40
P44 (YG50),9502.86,9252.30,8977.56,8742.13,8610.09,8444.59,8318.06,8178.93,8071.68,8100.78,7918.41,7823.07,7673.63,7534.59,7384.89,7244.44,7151.80,7025.81,6867.80,6704.63,7228.00,6401.98,6194.67,5960.64,5725.08,5719.36,5724.41,5278.35,4821.75,4596.24,4332.41,4165.39,4049.16,3758.67,3079.67,2265.61,2367.14,2079.80,1477.79,913.90,838.51,702.33,376.52,0.00,455.10,885.87,1451.99,1869.21,1979.13,2295.14,2768.46,3228.91,3377.52,3324.26,3554.91,3744.54
P45 (YG49-1),9622.65,9371.75,9096.76,8855.10,8720.59,8555.93,8430.84,8296.65,8194.34,8228.29,8046.63,7953.55,7805.46,7665.47,7510.52,7363.77,7263.61,7129.90,6959.34,6784.33,7310.88,6463.07,6243.47,5991.41,5724.13,5683.38,5659.60,5202.35,4734.49,4458.32,4157.00,3954.13,3802.04,3468.24,2779.15,2005.71,2070.41,1763.67,1203.31,781.47,900.61,1041.04,794.76,455.10,0.00,442.39,1013.59,1421.54,1524.79,1850.32,2314.73,2774.07,2930.23,2896.74,3148.17,3341.52
P46 (YG49),9618.18,9367.49,9092.89,8845.59,8708.96,8545.56,8422.27,8293.38,8196.31,8235.00,8054.60,7964.07,7817.80,7677.32,7517.62,7365.08,7257.79,7116.92,6934.64,6748.70,7276.28,6410.71,6180.25,5912.10,5615.97,5542.34,5491.78,5026.92,4551.98,4231.34,3898.48,3665.25,3482.94,3114.79,2423.28,1702.19,1729.21,1411.44,927.78,755.91,1031.66,1362.85,1187.59,885.87,442.39,0.00,571.20,983.34,1127.80,1494.02,1916.50,2365.05,2556.19,2573.64,2864.29,3062.61
P47 (YG48-1),9638.19,9388.57,9115.40,8861.71,8722.86,8561.72,8441.23,8319.71,8229.79,8274.43,8096.42,8009.57,7866.31,7725.87,7560.87,7401.68,7285.81,7136.50,6940.12,6741.17,7266.99,6383.65,6140.65,5853.43,5521.52,5404.30,5317.71,4846.82,4367.46,3988.04,3613.89,3338.60,3112.37,2694.39,2011.87,1418.40,1372.95,1057.83,821.34,1045.61,1400.90,1851.53,1729.44,1451.99,1013.59,571.20,0.00,432.09,704.43,1131.83,1443.70,1861.94,2115.66,2221.85,2568.90,2770.16
P48 (YG48),9840.72,9592.30,9320.64,9063.30,8923.30,8764.04,8645.70,8529.32,8444.28,8492.65,8316.64,8232.38,8091.42,7951.40,7783.51,7620.55,7499.51,7345.20,7140.28,6933.45,7456.13,6564.27,6313.84,6014.91,5659.51,5510.76,5396.92,4924.94,4446.63,4023.11,3617.78,3307.54,3041.11,2576.49,1925.99,1503.69,1390.71,1115.93,1111.00,1455.99,1818.56,2283.10,2158.21,1869.21,1421.54,983.34,432.09,0.00,414.70,834.78,1038.01,1436.85,1719.64,1881.55,2260.93,2460.65
P49 (YG47-2),10252.87,10004.28,9732.41,9475.48,9335.60,9176.12,9057.50,8940.43,8854.67,8902.45,8726.08,8641.35,8499.95,8359.83,8192.44,8030.11,7909.87,7756.27,7552.40,7346.37,7869.40,6978.09,6728.06,6429.51,6074.01,5923.27,5806.07,5334.21,4856.39,4425.26,4012.95,3692.93,3412.64,2930.11,2301.00,1917.95,1799.27,1530.02,1488.76,1741.88,2087.17,2487.56,2308.57,1979.13,1524.79,1127.80,704.43,414.70,0.00,434.61,790.73,1250.69,1433.44,1517.79,1874.18,2075.15
P50 (YG47),10673.27,10425.06,10153.65,9895.82,9755.66,9596.72,9478.70,9362.96,9278.40,9327.04,9151.16,9067.02,8926.14,8786.14,8618.16,8455.04,8333.66,8178.91,7972.96,7764.92,8286.83,7393.53,7141.46,6839.49,6476.40,6313.85,6185.27,5714.18,5238.32,4789.00,4363.77,4027.89,3727.59,3223.84,2630.09,2322.85,2186.77,1935.45,1923.36,2155.36,2490.72,2854.55,2644.76,2295.14,1850.32,1494.02,1131.83,834.78,434.61,0.00,561.57,1029.04,1083.56,1094.37,1439.95,1641.03
P51 (YG47-1),10687.71,10441.79,10173.19,9911.28,9770.06,9614.14,9499.37,9390.86,9313.12,9366.60,9194.00,9113.64,8976.37,8837.42,8666.16,8498.63,8370.90,8210.27,7994.17,7777.08,8292.32,7393.10,7133.43,6819.29,6431.11,6233.29,6074.93,5608.69,5141.26,4652.25,4204.00,3841.37,3509.89,2981.04,2463.26,2342.55,2162.54,1974.35,2130.48,2487.27,2844.60,3271.71,3099.24,2768.46,2314.73,1916.50,1443.70,1038.01,790.73,561.57,0.00,475.02,683.93,950.44,1383.26,1567.39
P52 (YG46),10835.08,10591.49,10325.71,10061.14,9919.39,9766.26,9654.35,9551.83,9479.65,9536.80,9367.21,9290.00,9155.89,9018.14,8844.83,8674.37,8542.07,8377.35,8154.00,7930.53,8438.67,7538.06,7273.43,6950.98,6544.42,6318.47,6135.80,5676.95,5220.54,4702.15,4238.96,3857.42,3502.67,2961.34,2530.95,2564.26,2359.24,2224.35,2477.61,2891.43,3255.23,3708.50,3551.96,3228.91,2774.07,2365.05,1861.94,1436.85,1250.69,1029.04,475.02,0.00,487.96,964.13,1397.38,1546.02
P53 (YG46-1),11298.16,11053.74,10786.95,10523.22,10381.62,10227.51,10114.58,10009.89,9935.63,9991.39,9820.58,9742.09,9606.66,9468.37,9295.85,9126.53,8995.99,8832.79,8612.05,8390.77,8901.49,8001.01,7737.87,7417.83,7016.19,6796.59,6618.10,6157.88,5699.23,5185.34,4723.72,4343.75,3990.21,3449.11,3008.30,2988.77,2794.85,2632.11,2814.17,3161.25,3514.35,3918.66,3723.38,3377.52,2930.23,2556.19,2115.66,1719.64,1433.44,1083.56,683.93,487.96,0.00,515.06,925.69,1062.95
P54 (YG45-1),11635.90,11389.68,11120.70,10859.24,10718.12,10561.82,10446.61,10337.05,10258.18,10310.82,10137.55,10056.41,9918.34,9779.11,9608.50,9441.81,9315.24,9155.58,8940.97,8724.97,9241.04,8342.18,8083.03,7769.47,7381.42,7181.11,7018.12,6553.26,6087.66,5591.55,5138.14,4767.93,4425.53,3889.03,3403.25,3282.63,3109.25,2907.53,2991.62,3249.68,3582.78,3923.33,3688.07,3324.26,2896.74,2573.64,2221.85,1881.55,1517.79,1094.37,950.44,964.13,515.06,0.00,442.52,617.72
P55 (YG45),12056.81,11810.05,11540.39,11279.79,11138.87,10981.87,10865.92,10754.68,10674.20,10725.67,10551.57,10469.47,10330.46,10190.95,10021.14,9855.52,9730.46,9572.16,9359.80,9145.71,9663.34,8765.38,8507.62,8196.18,7812.12,7616.55,7456.64,6991.07,6524.30,6031.41,5579.15,5209.90,4868.02,4331.54,3842.58,3697.46,3531.11,3317.97,3362.15,3572.02,3890.07,4187.08,3926.81,3554.91,3148.17,2864.29,2568.90,2260.93,1874.18,1439.95,1383.26,1397.38,925.69,442.52,0.00,201.26
P56 (YG44YGY),12248.68,12002.14,11732.76,11471.79,11330.79,11174.08,11058.43,10947.84,10867.94,10919.82,10745.98,10664.19,10525.46,10386.03,10215.98,10050.02,9924.46,9765.68,9552.46,9337.59,9854.54,8956.13,8697.67,8385.08,7998.46,7798.82,7635.10,7170.54,6705.26,6207.68,5752.90,5380.51,5034.77,4496.37,4019.95,3891.11,3722.07,3512.85,3562.86,3772.44,4089.35,4381.29,4117.40,3744.54,3341.52,3062.61,2770.16,2460.65,2075.15,1641.03,1567.39,1546.02,1062.95,617.72,201.26,0.00
